TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
AAM,20140708,14.5,14.5,14.5,14.5,25
ABT,20140708,50,50,47.1,49.5,51
ACC,20140708,28.2,28.2,28.2,28.2,3
ACL,20140708,9.4,9.5,9.2,9.5,1215
AGF,20140708,19.5,19.5,19.1,19.5,31
AGM,20140708,0,0,0,12.1,0
AGR,20140708,7.8,7.8,7.6,7.8,96424
ALP,20140708,4.3,4.3,4.2,4.2,120
ANV,20140708,9.7,9.7,9.6,9.7,342
APC,20140708,0,0,0,15.4,0
ASIAGF,20140708,0,0,0,9,0
ASM,20140708,10.6,10.8,10.5,10.8,50330
ASP,20140708,8.3,8.3,8,8.2,86310
ATA,20140708,5.9,6.3,5.9,6.2,104672
AVF,20140708,5.4,5.5,5.3,5.3,350848
BBC,20140708,59.5,60.5,57,58,1032
BCE,20140708,11,11.4,11,11.2,23595
BCI,20140708,19.9,20,19.7,20,736
BGM,20140708,5,5.1,4.9,5.1,25455
BHS,20140708,12,12.1,11.9,12.1,2047
BIC,20140708,10.8,10.8,10.5,10.7,6029
BID,20140708,15,15.1,14.8,14.8,28494
BMC,20140708,34.3,35,34.2,34.5,6131
BMI,20140708,14.8,14.9,14.5,14.7,22302
BMP,20140708,70.5,71,70.5,71,4384
BRC,20140708,10.4,10.4,10.3,10.4,400
BSI,20140708,8,8.1,7.9,8,21091
BT6,20140708,0,0,0,7,0
BTP,20140708,13.9,13.9,13.6,13.8,4734
BTT,20140708,34,34,33.2,33.2,635
BVH,20140708,43.1,43.5,42.8,43.2,8801
C21,20140708,0,0,0,20.1,0
C32,20140708,30.5,30.9,30.5,30.9,295
C47,20140708,18.5,18.5,18.5,18.5,1
CCI,20140708,12.6,12.6,12.6,12.6,12
CCL,20140708,5.7,5.7,5.5,5.6,26954
CDC,20140708,6.9,7.2,6.8,7.2,6774
CIG,20140708,3.8,3.9,3.7,3.9,2236
CII,20140708,20.2,20.5,20.1,20.5,110133
CLC,20140708,28.9,29,28.3,28.5,613
CLG,20140708,9.2,9.2,8.8,9,7868
CLL,20140708,35.4,35.4,30.5,31,9908
CLW,20140708,16,16.5,14.8,16.5,500
CMG,20140708,7.5,7.5,7.1,7.3,7405
CMT,20140708,0,0,0,10.4,0
CMV,20140708,0,0,0,14.5,0
CMX,20140708,5.3,5.4,5.3,5.3,4009
CNG,20140708,38.3,38.9,38.1,38.7,15153
COM,20140708,30.4,30.4,30,30,84
CSM,20140708,43.7,43.8,42.7,43.2,48645
CTD,20140708,62.5,62.5,62,62,1396
CTG,20140708,14.7,14.8,14.6,14.7,45093
CTI,20140708,13.1,13.1,13.1,13.1,12
CYC,20140708,4.4,4.6,4.4,4.6,134
D2D,20140708,23.5,23.5,23.5,23.5,460
DAG,20140708,14,14,13.4,13.4,337
DCL,20140708,30.3,30.5,30,30,4344
DCT,20140708,2.9,3,2.9,2.9,12551
DHA,20140708,9.7,9.9,9.5,9.9,2827
DHC,20140708,16,16.2,15.7,15.9,19090
DHG,20140708,98.5,99,98,98.5,2440
DHM,20140708,7.7,7.9,7.7,7.9,92091
DIC,20140708,8.5,8.6,8.4,8.5,11524
DIG,20140708,16.4,16.7,16.3,16.5,7354
DLG,20140708,9.2,9.4,9.1,9.2,101916
DMC,20140708,40.4,40.4,40,40.1,4743
DPM,20140708,33.4,33.5,33,33.1,86889
DPR,20140708,39.9,40,39.8,39.9,9985
DQC,20140708,36.8,36.9,36.3,36.9,902
DRC,20140708,51.5,52,50,51,20526
DRH,20140708,4.5,4.6,4.2,4.3,34490
DRL,20140708,29.6,29.6,29.6,29.6,18
DSN,20140708,59,59,59,59,650
DTA,20140708,3.6,4,3.6,4,463
DTL,20140708,9.6,9.6,9.5,9.6,764
DTT,20140708,0,0,0,6,0
DVP,20140708,41,41,41,41,1887
DXG,20140708,15.3,15.5,15.2,15.4,52297
DXV,20140708,4.6,4.7,4.5,4.5,5516
EIB,20140708,13.2,13.3,13.1,13.2,53639
ELC,20140708,15,15,14.8,14.8,312
EMC,20140708,5.7,5.7,5.7,5.7,1
EVE,20140708,0,0,0,27.1,0
FCM,20140708,14.2,14.3,14,14.1,49756
FCN,20140708,24.8,25.3,24.7,25,34542
FDC,20140708,19.3,19.5,19.2,19.2,1803
FLC,20140708,12.5,12.8,12.3,12.8,943708
FMC,20140708,16.8,16.8,16.8,16.8,301
FPT,20140708,49.9,50.5,49.5,49.9,66872
GAS,20140708,110,112,109,111,20490
GDT,20140708,27.4,27.4,27.3,27.3,431
GIL,20140708,23.8,23.9,23.8,23.9,3
GMC,20140708,29.1,29.8,29.1,29.8,1083
GMD,20140708,35.2,35.2,34.4,34.4,9585
GSP,20140708,12.3,12.4,12,12.4,14219
GTA,20140708,11.1,11.1,10.7,10.7,25
GTT,20140708,5.4,5.5,5.3,5.5,106727
HAG,20140708,25.5,25.7,25.3,25.7,323215
HAI,20140708,0,0,0,22.4,0
HAP,20140708,9,9.1,8.8,9.1,40591
HAR,20140708,10.5,10.9,10.5,10.9,197688
HAS,20140708,6.3,6.4,6.3,6.4,586
HAX,20140708,7,7,7,7,2
HBC,20140708,17.7,18.7,17.5,18.4,78649
HCM,20140708,36.1,36.4,35.9,36.1,90795
HDC,20140708,23,23.5,22.8,23.5,44
HDG,20140708,27,27,25.7,25.9,12714
HHS,20140708,23.9,24.2,23.9,24,52259
HLA,20140708,0,0,0,2.4,0
HLG,20140708,5,5,5,5,20
HMC,20140708,9.3,9.3,9.2,9.3,4545
HOT,20140708,27,27,27,27,3
HPG,20140708,54.5,55,54,55,67547
HQC,20140708,8.5,8.5,8.3,8.4,221214
HRC,20140708,38.2,38.5,36.6,36.6,1101
HSG,20140708,47,47,45.9,46.6,20344
HSI,20140708,3.2,3.4,3.2,3.4,842
HT1,20140708,13.4,13.9,13.2,13.9,94886
HTI,20140708,9.5,9.5,9.4,9.4,1186
HTL,20140708,0,0,0,16,0
HTV,20140708,18.1,18.6,18.1,18.6,107
HU1,20140708,7.5,7.9,7.5,7.9,56
HU3,20140708,9.8,9.8,9.3,9.5,1663
HVG,20140708,24,24,23.8,23.8,23704
HVX,20140708,4.6,4.6,4.6,4.6,132
ICF,20140708,4.9,5,4.9,5,3717
IDI,20140708,13.8,13.9,13.6,13.9,39153
IJC,20140708,13.2,13.8,13.2,13.7,354318
IMP,20140708,55.5,55.5,54,55.5,1799
ITA,20140708,8.4,8.5,8.3,8.5,646426
ITC,20140708,8.3,8.5,8.2,8.5,31515
ITD,20140708,7.4,7.4,7.1,7.3,16131
JVC,20140708,16.2,16.3,15.7,16.2,24988
KAC,20140708,10.3,10.3,10.3,10.3,1
KBC,20140708,11.5,11.6,11.3,11.6,100432
KDC,20140708,60.5,60.5,59.5,60.5,1727
KDH,20140708,16.4,16.4,15.9,16.3,2756
KHA,20140708,20.1,20.1,20.1,20.1,126
KHP,20140708,14.3,14.4,14.3,14.4,1449
KMR,20140708,7.1,7.4,7.1,7.2,81447
KSA,20140708,8.3,8.5,8.2,8.3,64727
KSB,20140708,26.5,26.5,26.4,26.4,1286
KSH,20140708,0,0,0,6.3,0
KSS,20140708,6.2,6.4,6.2,6.3,164506
KTB,20140708,6.9,6.9,6.7,6.9,70462
L10,20140708,12.8,12.9,12.8,12.8,1141
LAF,20140708,11.1,11.4,11.1,11.3,11910
LBM,20140708,13.5,13.8,13.5,13.8,81
LCG,20140708,7.8,8,7.6,8,256819
LCM,20140708,6.6,6.7,6.5,6.5,52299
LGC,20140708,21,21,21,21,10
LGL,20140708,4.6,4.8,4.5,4.6,1028
LHG,20140708,9.5,9.9,9.5,9.9,2001
LIX,20140708,27.3,27.3,26.4,27,2139
LM8,20140708,17.9,18.7,17.9,18.7,32
LSS,20140708,11.2,11.4,11,11,2631
MAFPF1,20140708,9.7,9.7,9.7,9.7,500
MBB,20140708,14.1,14.2,13.9,14,123556
MCG,20140708,7,7.1,6.8,7.1,52794
MCP,20140708,0,0,0,17.1,0
MDG,20140708,5.4,5.5,5.4,5.4,2810
MHC,20140708,11.9,12,11.6,12,6114
MPC,20140708,35.5,37.1,35.5,37.1,256
MSN,20140708,93,93,92,93,11956
MTG,20140708,5.1,5.2,5,5.1,7195
NAV,20140708,5.9,6,5.9,6,110
NBB,20140708,19.8,21,19.8,21,52273
NHS,20140708,12.2,12.2,12,12.1,24486
NHW,20140708,0,0,0,12,0
NKG,20140708,10.6,10.8,10.4,10.6,6312
NLG,20140708,17.5,17.9,17.5,17.9,1411
NNC,20140708,57.5,58,57,57.5,1147
NSC,20140708,80,80,79.5,80,90
NTL,20140708,15.9,15.9,15.6,15.7,51069
NVN,20140708,3.1,3.2,3.1,3.1,1650
NVT,20140708,7,7.3,7,7.2,17396
OGC,20140708,11.4,11.6,11.3,11.5,141202
OPC,20140708,63,63,63,63,1
PAC,20140708,23,23.2,22.8,23.1,3851
PAN,20140708,0,0,0,44.5,0
PDN,20140708,38.5,39.8,38,39.8,250
PDR,20140708,10.9,11.2,10.2,11.2,409
PET,20140708,18.1,18.4,18,18.2,137702
PGC,20140708,12.7,13.2,12.6,13.1,45565
PGD,20140708,37.2,37.3,36.7,37,19593
PGI,20140708,9,9,9,9,420
PHR,20140708,27,27,26.9,27,48
PIT,20140708,0,0,0,8.7,0
PJT,20140708,8,8,7.8,7.8,61
PNC,20140708,6.7,6.7,6.7,6.7,1
PNJ,20140708,29.5,30,29.5,30,1403
POM,20140708,12.7,12.7,12.7,12.7,45
PPC,20140708,21,21.1,20.8,20.9,20888
PPI,20140708,11.6,11.6,11.2,11.4,21059
PTB,20140708,42.6,42.6,42.6,42.6,100
PTC,20140708,6,6,6,6,50
PTK,20140708,4.8,4.9,4.7,4.8,42007
PTL,20140708,3.1,3.3,3.1,3.3,183002
PVD,20140708,83.5,84,83,83.5,18932
PVT,20140708,13,13.6,12.9,13.5,256661
PXI,20140708,5.3,5.3,5.1,5.2,10878
PXL,20140708,4.4,4.7,4.4,4.7,131746
PXS,20140708,21.6,21.8,21.2,21.5,48659
PXT,20140708,4,4,3.8,4,3482
QCG,20140708,8.8,9,8.8,8.8,13027
RAL,20140708,45.1,45.5,45,45.5,230
RDP,20140708,14.4,15.3,14.4,15.3,2
REE,20140708,27.1,27.3,26.9,27,78926
RIC,20140708,7.9,8.8,7.9,8.8,76
SAM,20140708,10.5,10.7,10.4,10.7,158758
SAV,20140708,14.5,14.5,14.5,14.5,1
SBA,20140708,10.2,10.2,10,10,19825
SBC,20140708,0,0,0,9.2,0
SBT,20140708,12.3,12.3,12.2,12.3,9659
SC5,20140708,26.5,27.9,24.9,26.6,161
SCD,20140708,27.7,29.3,27.7,29.3,4
SEC,20140708,11.1,11.3,11.1,11.2,918
SFC,20140708,0,0,0,22.3,0
SFI,20140708,29.8,29.8,28.7,29.8,180
SGT,20140708,5.6,5.6,5.2,5.2,1168
SHI,20140708,5.7,6,5.7,6,4189
SII,20140708,0,0,0,17.5,0
SJD,20140708,23.9,24,23.7,23.9,9362
SJS,20140708,19.8,20,19.3,20,21565
SKG,20140708,34.8,34.8,34.8,34.8,268
SMA,20140708,5.4,5.5,5.3,5.4,6361
SMC,20140708,9.8,9.8,9.6,9.6,352
SPM,20140708,20.4,20.4,20.4,20.4,55
SRC,20140708,22.2,22.6,22.1,22.4,12868
SRF,20140708,14.5,14.5,14.5,14.5,364
SSC,20140708,60,64,60,60,14
SSI,20140708,26.7,26.8,26.4,26.8,247871
ST8,20140708,19.4,19.4,19,19.4,550
STB,20140708,20.3,20.5,20.3,20.4,24038
STG,20140708,24.7,24.7,24.7,24.7,1
STT,20140708,2.9,3,2.9,3,2
SVC,20140708,15.6,15.8,15.4,15.6,7290
SVI,20140708,37,38,37,38,103
SVT,20140708,0,0,0,6.9,0
SZL,20140708,17.5,18.2,17.5,18.1,8287
TAC,20140708,47,47,47,47,26
TBC,20140708,20.9,20.9,20.7,20.9,1120
TCL,20140708,24,24.1,24,24.1,5
TCM,20140708,28.3,28.6,27.9,28.2,79986
TCO,20140708,11.9,12.6,11.9,12.6,11125
TCR,20140708,5.7,5.7,5.6,5.7,154
TDC,20140708,10.5,10.6,10.3,10.5,81602
TDH,20140708,16.1,16.1,15.9,16,26393
TDW,20140708,19,19,19,19,15
THG,20140708,0,0,0,10.1,0
TIC,20140708,11.2,11.2,11,11,9
TIE,20140708,15.3,15.4,15.1,15.4,2162
TIX,20140708,20.1,20.2,20.1,20.2,102
TLG,20140708,41,41.5,41,41.5,38
TLH,20140708,9.2,9.3,9,9.3,100286
TMP,20140708,23.5,23.5,23.5,23.5,50
TMS,20140708,0,0,0,33.9,0
TMT,20140708,7.3,7.8,7.3,7.8,1065
TNA,20140708,27.9,27.9,27.9,27.9,1
TNC,20140708,11,11,10.7,10.7,1564
TNT,20140708,3.2,3.3,3.1,3.2,23936
TPC,20140708,9.1,9.1,8.9,8.9,1903
TRA,20140708,81,86,78.5,78.5,301
TRC,20140708,34.2,34.5,34.1,34.5,1222
TS4,20140708,10.1,10.2,9.8,10,1259
TSC,20140708,24.2,24.3,23.7,24,9634
TTF,20140708,10.3,10.5,10.2,10.5,67763
TTP,20140708,17.8,17.8,17.2,17.5,1722
TV1,20140708,0,0,0,12.5,0
TYA,20140708,7.1,7.1,6.9,7,1131
UDC,20140708,6.9,6.9,6.6,6.9,36759
UIC,20140708,0,0,0,14.5,0
VCB,20140708,26.3,26.3,26.1,26.2,17775
VCF,20140708,162,162,153,153,40
VFG,20140708,0,0,0,40.5,0
VHC,20140708,39.8,39.8,39,39.4,3408
VHG,20140708,11.3,11.5,11.1,11.4,175984
VIC,20140708,75,75,71,71.5,131575
VID,20140708,4.8,5.1,4.8,5.1,30256
VIP,20140708,10.8,10.8,10.6,10.8,39814
VIS,20140708,8.5,8.6,8.3,8.5,60707
VLF,20140708,5.4,5.5,5.4,5.4,4505
VMD,20140708,16.2,16.2,16.2,16.2,49
VNA,20140708,3.1,3.2,3,3,1939
VNE,20140708,6.8,7.2,6.8,7.1,174009
VNG,20140708,10.9,10.9,10.9,10.9,3
VNH,20140708,4.8,4.9,4.7,4.9,93234
VNI,20140708,3.6,3.8,3.6,3.8,16
VNL,20140708,0,0,0,20,0
VNM,20140708,128,129,127,129,15940
VNS,20140708,45,47.6,44.8,45,504
VOS,20140708,4,4.1,3.9,4,16264
VPH,20140708,8.3,8.5,8.3,8.4,7533
VPK,20140708,24.8,25.8,24.2,25.8,943
VRC,20140708,5.6,5.7,5.6,5.7,6737
VSC,20140708,53,53,52,52,1024
VSH,20140708,15.5,15.6,15.3,15.5,56418
VSI,20140708,8,8,8,8,1
VST,20140708,2.6,2.7,2.6,2.6,8529
VTB,20140708,10,10.5,9.8,10.5,5
VTF,20140708,0,0,0,18.2,0
VTO,20140708,7.2,7.4,7.1,7.4,106199
AAA,20140708,19.1,20,19,19.8,555900
ACB,20140708,15.5,15.6,15.4,15.5,203500
ADC,20140708,0,0,0,21,0
ALT,20140708,0,0,0,12,0
ALV,20140708,5.6,5.7,5.6,5.6,500
AMC,20140708,0,0,0,22,0
AME,20140708,4,4,4,4,200
AMV,20140708,5.2,5.2,5.2,5.2,500
APG,20140708,5.7,6,5.7,6,446400
API,20140708,11.5,11.5,11.5,11.5,1500
APP,20140708,0,0,0,12.6,0
APS,20140708,6,6.2,6,6,539600
ARM,20140708,0,0,0,19.5,0
ASA,20140708,17.6,17.7,17.4,17.6,26500
B82,20140708,10.8,11,10.8,11,6200
BBS,20140708,0,0,0,16.2,0
BCC,20140708,7.7,7.9,7.6,7.9,13700
BDB,20140708,0,0,0,6.5,0
BED,20140708,0,0,0,11.5,0
